Sample	A1-3040-A1ee-3042	A1	A1/3040_A-A1ee	A1-A1bn-A1ac-A1ad	A1ee	C1-C1c-C1b-C1al	C3ae/C3g/C3/C3f-C21-C3bj	C1	C3ae-C3-C3f-C3bj-C3p	C3ae-C3-C3f-C3bj-C3p-C3ch	C3ae	C3bj	C116	C3v	C115k	D1-D6-D4-D1d-D2.2-D1b	D1/D2d	D1/D2d-3098_D	D1-D4-D1u	D6	D1/D2d-3098_D-3076_D
270Oc	63091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
271Mc	59460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
271Oc	50874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
272Mc2	99013	0	0	0	0	0	0	1928	0	0	0	0	0	0	0	0	0	3155	0	0	0
27BNMb	0	5193	0	0	48863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27NBOb2	0	0	0	0	0	62303	0	0	17964	0	0	0	0	0	0	0	0	0	0	0	0
280Mc2	16324	0	0	0	0	0	0	0	0	0	897	223	0	0	0	0	0	0	0	0	7223
283Mc2	0	2402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	621	0	0	0	0
28NBOb2	0	255	0	0	0	80001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
291Mc	25356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
292Mc	0	2095	0	0	0	0	0	59	645	0	0	0	0	0	0	0	0	0	0	0	0
293Mc	19752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
294Mc	10882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
295Mc2	133206	0	0	0	0	0	0	0	0	0	1563	158	0	0	0	0	0	0	0	0	0
296Mc2	134620	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29BNMb2	0	116131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29NBOb	0	0	0	0	0	64573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2NBOb	0	0	0	0	0	50161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
301Af2	1385	0	0	0	0	0	84771	0	0	0	0	0	0	0	0	0	0	0	0	0	0
301Of	0	0	0	0	0	0	16588	0	0	0	0	0	0	0	0	0	0	0	0	0	0
302Af	0	0	0	0	0	0	28131	0	0	0	0	0	0	0	0	0	0	0	0	0	0
303Of	0	0	0	0	0	0	4467	0	0	0	0	0	0	0	0	0	0	0	0	0	0
304Af2	0	0	0	0	0	0	82418	0	0	0	0	0	0	0	0	0	0	138	0	0	0
304Of	0	0	0	0	0	0	21054	0	0	0	0	0	0	0	0	0	0	0	0	0	0
305Of	0	0	0	0	0	0	9016	0	0	0	0	0	0	0	0	0	0	0	0	0	0
306Af	0	0	0	0	0	0	0	0	3611	0	0	0	0	0	0	0	0	0	0	0	0
307Af2	0	0	0	0	0	0	0	0	53808	0	0	0	0	0	0	0	0	0	0	0	0
309Af2	0	0	0	0	0	0	18018	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30BNMb2	0	0	0	0	0	27566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30NBOb2	133528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
310Of	0	0	0	0	0	0	23419	0	0	0	0	0	0	0	0	0	0	0	0	0	0
311Af2	0	0	0	0	0	0	26119	0	0	0	0	0	0	0	0	0	0	0	0	0	0
311Of	0	0	0	0	0	0	19672	0	0	0	0	0	0	0	0	0	0	0	0	0	0
312Af	0	0	0	0	0	0	0	0	0	12193	0	0	0	0	0	0	0	0	0	0	0
312Of	0	0	0	0	0	0	0	0	0	25162	0	0	0	0	0	0	0	0	0	0	0
313Of	0	0	0	0	0	0	24868	0	0	0	0	0	0	0	0	0	0	0	0	0	0
314Af	0	0	215	0	0	0	24330	0	0	0	0	0	0	0	0	0	0	0	0	0	0
314Of	0	0	0	0	0	0	9944	0	0	0	0	0	0	0	0	0	0	0	0	0	0
316Af	0	0	0	0	0	0	0	0	8362	0	0	0	0	0	0	0	0	0	0	0	0
316Of2	0	0	0	0	0	0	0	0	21842	0	0	0	0	0	0	0	0	0	0	0	0
317Af2	0	234	0	0	0	0	4086	0	0	0	0	0	0	0	0	0	0	327	0	0	0
317Of	0	0	0	0	0	0	4612	0	0	0	0	0	0	0	0	0	0	0	0	0	0
318Af	0	0	0	0	0	0	0	0	0	5750	0	0	0	0	0	0	0	0	0	0	0
318Of	0	0	0	0	0	0	0	0	0	21324	0	0	0	0	0	0	0	0	0	0	0
319Af2	0	0	0	0	0	0	257	0	0	0	0	0	0	0	0	0	0	0	23999	0	0
319Of2	0	0	0	0	0	0	496	0	0	0	0	0	0	0	0	0	0	0	3669	0	0
31BNMb2	0	1158	0	0	0	0	0	4955	0	0	1580	0	0	0	0	0	0	6169	0	0	0
320Of2	0	0	0	0	0	0	16544	0	0	0	0	0	0	0	0	0	0	0	0	0	0
322Af	0	0	0	0	0	0	0	0	0	3601	0	0	0	0	0	0	0	0	0	0	0
322Of2	0	0	0	0	0	0	0	0	49273	0	0	0	0	0	0	0	0	0	0	0	0
323Af	0	0	0	0	0	0	0	0	0	17763	0	0	0	0	0	0	0	0	0	0	0
323Of2	0	0	0	0	0	0	0	0	42295	0	0	0	0	0	0	0	0	0	0	0	0
324Af2	0	0	0	0	0	0	0	0	0	582	0	0	0	0	0	0	0	0	47431	0	0
324Of	0	0	0	0	0	0	0	0	0	3187	0	0	0	0	0	0	0	0	0	0	0
33BNMb	7624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34BNMb2	0	0	2740	0	0	0	0	2741	0	0	0	0	0	0	0	0	0	10736	0	1535	0
35BNMb	54839	0	0	0	0	0	0	3005	0	0	0	0	0	0	0	0	0	0	0	0	5982
36BNMb	0	50571	0	0	0	228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
37BNMb	0	0	0	0	0	17514	0	0	0	0	0	0	0	0	0	22982	0	0	0	0	0
38BNMb	0	0	256	0	0	1491	0	0	0	0	0	0	0	0	0	43015	0	0	0	0	0
39BNMb	65542	0	0	0	0	0	0	323	0	0	0	0	0	0	0	0	0	0	0	0	0
3NBOb	0	0	324	0	0	0	0	317	0	0	0	0	0	0	0	49189	0	0	0	0	0
41BNMb	0	0	0	0	0	26267	0	0	0	0	0	0	0	0	0	9364	0	0	0	0	0
43BNMb2	0	0	557	0	0	33737	0	0	0	0	0	0	0	0	0	71344	0	0	0	0	0
44BNMb2	0	1115	0	0	0	30765	0	0	0	0	0	0	0	0	0	77956	0	0	0	0	0
45BNMb	38935	0	0	0	0	0	0	1594	0	0	1855	345	0	0	0	0	0	0	0	9264	0
46BNMb	0	24660	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4NBOb	0	0	0	0	0	0	0	979	0	0	0	0	0	1922	0	44190	0	0	0	0	0
50BNMb	0	0	7791	0	0	0	0	0	43101	0	0	0	0	0	0	0	8353	0	0	0	0
5NBOb2	0	177	0	0	0	87902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6NBOb	0	44397	0	0	0	717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7NBOb	0	0	0	0	0	0	0	625	0	0	0	0	0	0	0	41504	0	0	0	0	0
8NBOb	0	0	0	0	0	0	0	0	0	9814	0	0	0	0	0	34633	0	0	0	0	0
9NBOb2	0	641	0	0	0	53942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
