sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6
D1-D4-D1u,35,0.18257854194451356,0.24796299821277512,-0.183884414160688,-0.0014923261501763034,-0.0,0.0
D1-D6-D4-D1d-D2.2-D1b,36,-0.19399208033061976,0.2686031925230992,0.2218043141163019,0.00027393484049260193,-0.0,0.0
D1/D2d-3098_D-3076_D,37,0.2282592805159129,-0.21453187137068966,0.160140734019982,0.0051230208640302075,-0.0,0.0
D1/D2d-3098_D,38,0.2601459861044575,-0.10215932126491145,-0.02928615771154955,-0.03058583838055784,-0.0,0.0
D1/D2d,39,0.2610218990188101,-0.06519395279173147,-0.07696539832612853,0.026829986474447946,-0.0,0.0
D6,41,-0.7380136272530754,-0.1346810453085413,-0.09180907793791729,-0.00014877764823473518,-0.0,0.0
proportion_explained,0,0.7038891717626835,0.1861313688900319,0.10850438280165982,0.001475076545624937,0.0,0.0
